case_index,fan_electrical_external,fan_electrical_internal,fan_mechanical_external,fan_mechanical_internal,capacitor,igbt_deltaT,igbt_arrhenius,pcb
0,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.571133381537401e-25,0.000000000000000e+00
1,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.532272032321585e-25,0.000000000000000e+00
2,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.501372120462360e-25,0.000000000000000e+00
3,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.581065229122120e-25,0.000000000000000e+00
4,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.786191309629377e-25,0.000000000000000e+00
5,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,4.030059239265926e-25,0.000000000000000e+00
6,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,4.132431584751726e-25,0.000000000000000e+00
7,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,4.146926523082942e-25,0.000000000000000e+00
8,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,4.323619837834689e-25,0.000000000000000e+00
9,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,4.687886545383633e-25,0.000000000000000e+00
10,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,5.750827430970539e-25,0.000000000000000e+00
11,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,7.836403506600284e-25,0.000000000000000e+00
12,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,9.159537796290833e-25,0.000000000000000e+00
13,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,6.746062697094807e-25,0.000000000000000e+00
14,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,6.595998511086298e-25,0.000000000000000e+00
15,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,9.149131201584729e-25,0.000000000000000e+00
16,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.996351140495150e-24,0.000000000000000e+00
17,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.453629312968462e-24,0.000000000000000e+00
