case_index,fan_electrical_external,fan_electrical_internal,fan_mechanical_external,fan_mechanical_internal,capacitor,igbt_deltaT,igbt_arrhenius,pcb
39730,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,8.213452992350294e-08,4.667430315782686e-10
39731,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,8.785704577555269e-08,4.667430315782686e-10
39732,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,8.879314123385066e-08,4.667430315782686e-10
39733,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,9.622883955002336e-08,4.667430315782686e-10
39734,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.014785587796621e-07,4.667430315782686e-10
39735,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.031159679162015e-07,4.667430315782686e-10
39736,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,6.614277483547203e-07,4.667430315782686e-10
39737,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.503849573828165e-07,4.667430315782686e-10
39738,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.382499071070454e-07,4.667430315782686e-10
39739,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.426042557876134e-07,4.667430315782686e-10
39740,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.412994039946137e-07,4.667430315782686e-10
39741,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.458685927029932e-07,4.667430315782686e-10
39742,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.435437819781294e-07,4.667430315782686e-10
39743,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.413920101055789e-07,4.667430315782686e-10
39744,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.416055646898194e-07,4.667430315782686e-10
39745,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.391069425204487e-07,4.667430315782686e-10
39746,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.431413009361504e-07,4.667430315782686e-10
