time,ambient_temperature,rh,GHI
2024-01-01 00:00:00,7.9,69.8,0.0
2024-01-01 00:05:00,7.8,69.96,0.0
2024-01-01 00:10:00,7.64,70.89,0.0
2024-01-01 00:15:00,7.67,70.62,0.0
2024-01-01 00:20:00,7.39,71.87,0.0
2024-01-01 00:25:00,6.94,73.89,0.0
2024-01-01 00:30:00,6.51,76.1,0.0
2024-01-01 00:35:00,6.02,78.81,0.0
2024-01-01 00:40:00,5.66,81.39,0.0
2024-01-01 00:45:00,5.41,82.28,0.0
2024-01-01 00:50:00,5.14,82.94,0.0
2024-01-01 00:55:00,4.86,83.81,0.0
2024-01-01 01:00:00,4.7,83.94,0.0
2024-01-01 01:05:00,4.52,84.12,0.0
2024-01-01 01:10:00,4.97,83.82,0.0
2024-01-01 01:15:00,5.55,82.15,0.0
2024-01-01 01:20:00,5.82,80.45,0.0
2024-01-01 01:25:00,6.33,78.72,0.0
2024-01-01 01:30:00,6.5,77.42,0.0
2024-01-01 01:35:00,6.44,77.63,0.0
2024-01-01 01:40:00,6.79,76.26,0.0
2024-01-01 01:45:00,7.01,74.61,0.0
2024-01-01 01:50:00,6.97,73.75,0.0
2024-01-01 01:55:00,7.0,73.18,0.0
2024-01-01 02:00:00,7.06,72.83,0.0
2024-01-01 02:05:00,7.11,72.5,0.0
2024-01-01 02:10:00,6.77,73.12,0.0
2024-01-01 02:15:00,6.4,74.39,0.0
2024-01-01 02:20:00,6.1,75.53,0.0
2024-01-01 02:25:00,5.75,76.53,0.0
2024-01-01 02:30:00,5.43,77.74,0.0
2024-01-01 02:35:00,5.13,79.38,0.0
2024-01-01 02:40:00,4.85,80.82,0.0
2024-01-01 02:45:00,4.55,82.09,0.0
2024-01-01 02:50:00,4.4,83.12,0.0
2024-01-01 02:55:00,4.17,83.69,0.0
2024-01-01 03:00:00,3.95,85.19,0.0
2024-01-01 03:05:00,3.78,86.24,0.0
2024-01-01 03:10:00,3.65,87.04,0.0
2024-01-01 03:15:00,3.6,88.91,0.0
2024-01-01 03:20:00,3.64,89.93,0.0
2024-01-01 03:25:00,3.54,90.43,0.0
2024-01-01 03:30:00,3.47,90.61,0.0
2024-01-01 03:35:00,3.37,90.89,0.0
2024-01-01 03:40:00,3.36,91.13,0.0
2024-01-01 03:45:00,3.25,91.56,0.0
2024-01-01 03:50:00,3.2,91.67,0.0
2024-01-01 03:55:00,3.18,92.08,0.0
2024-01-01 04:00:00,3.1,92.43,0.0
2024-01-01 04:05:00,3.1,93.01,0.0
2024-01-01 04:10:00,3.14,93.27,0.0
2024-01-01 04:15:00,3.11,93.38,0.0
2024-01-01 04:20:00,3.02,93.55,0.0
2024-01-01 04:25:00,2.93,93.46,0.0
2024-01-01 04:30:00,2.9,93.66,0.0
2024-01-01 04:35:00,2.8,93.8,0.0
2024-01-01 04:40:00,2.75,93.81,0.0
2024-01-01 04:45:00,2.7,93.9,0.0
2024-01-01 04:50:00,2.7,93.87,0.0
2024-01-01 04:55:00,2.64,93.87,0.0
2024-01-01 05:00:00,2.65,94.15,0.0
2024-01-01 05:05:00,2.65,94.43,0.0
2024-01-01 05:10:00,2.59,94.66,0.0
2024-01-01 05:15:00,2.56,94.84,0.0
2024-01-01 05:20:00,2.65,95.14,0.0
2024-01-01 05:25:00,2.65,95.3,0.0
2024-01-01 05:30:00,2.62,95.3,0.0
2024-01-01 05:35:00,2.62,95.4,0.0
2024-01-01 05:40:00,2.61,95.5,0.0
2024-01-01 05:45:00,2.59,95.53,0.0
2024-01-01 05:50:00,2.62,95.65,0.0
2024-01-01 05:55:00,2.67,95.79,0.0
2024-01-01 06:00:00,2.9,95.74,0.0
2024-01-01 06:05:00,3.42,95.37,0.0
2024-01-01 06:10:00,3.41,94.13,0.0
2024-01-01 06:15:00,3.44,93.46,0.0
2024-01-01 06:20:00,3.35,92.96,0.0
2024-01-01 06:25:00,3.15,92.88,0.0
2024-01-01 06:30:00,3.04,93.06,0.0
2024-01-01 06:35:00,2.92,93.38,0.0
2024-01-01 06:40:00,2.8,93.66,0.0
2024-01-01 06:45:00,2.76,94.36,0.0
2024-01-01 06:50:00,2.66,94.86,0.0
2024-01-01 06:55:00,2.59,95.22,0.0
2024-01-01 07:00:00,2.48,95.47,0.0
2024-01-01 07:05:00,2.4,95.66,0.0
2024-01-01 07:10:00,2.24,95.86,0.0
2024-01-01 07:15:00,2.2,95.98,0.0
2024-01-01 07:20:00,2.1,96.2,0.89
2024-01-01 07:25:00,2.09,96.38,5.11
2024-01-01 07:30:00,2.0,96.61,3.73
2024-01-01 07:35:00,1.9,96.78,5.23
2024-01-01 07:40:00,1.89,96.82,10.97
2024-01-01 07:45:00,1.81,96.96,21.58
2024-01-01 07:50:00,1.87,97.12,68.12
2024-01-01 07:55:00,1.92,97.3,39.46
2024-01-01 08:00:00,2.03,97.53,28.85
2024-01-01 08:05:00,2.15,97.67,35.67
2024-01-01 08:10:00,2.28,97.85,58.93
2024-01-01 08:15:00,2.46,98.04,179.86
2024-01-01 08:20:00,2.61,98.13,220.0
2024-01-01 08:25:00,2.9,98.27,182.95
2024-01-01 08:30:00,3.26,98.46,62.28
2024-01-01 08:35:00,3.61,98.61,75.44
2024-01-01 08:40:00,4.23,98.68,254.23
2024-01-01 08:45:00,4.79,97.89,269.21
2024-01-01 08:50:00,5.55,96.0,78.51
2024-01-01 08:55:00,6.34,92.46,63.13
2024-01-01 09:00:00,6.63,86.9,73.89
2024-01-01 09:05:00,6.63,85.51,201.36
2024-01-01 09:10:00,6.76,84.8,114.1
2024-01-01 09:15:00,6.98,84.14,111.39
2024-01-01 09:20:00,7.28,82.67,221.78
2024-01-01 09:25:00,7.56,81.3,204.24
2024-01-01 09:30:00,8.0,80.2,424.97
2024-01-01 09:35:00,8.42,77.41,155.94
2024-01-01 09:40:00,8.94,74.3,499.54
2024-01-01 09:45:00,9.63,71.6,546.26
2024-01-01 09:50:00,10.41,68.98,429.24
2024-01-01 09:55:00,11.1,65.68,511.52
2024-01-01 10:00:00,11.45,62.81,579.72
2024-01-01 10:05:00,11.93,61.22,597.72
2024-01-01 10:10:00,12.6,59.77,512.24
2024-01-01 10:15:00,12.53,57.63,459.54
2024-01-01 10:20:00,12.62,57.07,347.94
2024-01-01 10:25:00,12.32,56.73,356.26
2024-01-01 10:30:00,12.32,56.57,692.89
2024-01-01 10:35:00,12.39,56.29,207.11
2024-01-01 10:40:00,12.61,56.03,670.86
2024-01-01 10:45:00,12.73,55.72,694.21
2024-01-01 10:50:00,13.28,55.02,329.26
2024-01-01 10:55:00,13.57,53.87,588.86
2024-01-01 11:00:00,13.86,53.74,492.81
2024-01-01 11:05:00,14.75,52.22,463.59
2024-01-01 11:10:00,15.2,50.76,756.73
2024-01-01 11:15:00,15.61,50.16,698.44
2024-01-01 11:20:00,16.34,47.97,773.23
2024-01-01 11:25:00,16.7,46.63,761.38
2024-01-01 11:30:00,15.9,45.98,753.56
2024-01-01 11:35:00,16.89,45.94,300.35
2024-01-01 11:40:00,16.63,44.58,781.23
2024-01-01 11:45:00,17.54,44.62,803.32
2024-01-01 11:50:00,17.95,43.35,791.38
2024-01-01 11:55:00,17.23,42.73,850.61
2024-01-01 12:00:00,17.55,43.23,388.2
2024-01-01 12:05:00,18.17,42.32,289.7
2024-01-01 12:10:00,18.12,41.0,560.49
2024-01-01 12:15:00,17.85,41.1,622.82
2024-01-01 12:20:00,17.92,40.91,595.53
2024-01-01 12:25:00,18.21,41.15,885.07
2024-01-01 12:30:00,18.28,40.42,594.48
2024-01-01 12:35:00,18.04,39.92,443.13
2024-01-01 12:40:00,17.74,40.24,366.04
2024-01-01 12:45:00,17.52,40.92,457.64
2024-01-01 12:50:00,17.37,41.35,272.8
2024-01-01 12:55:00,17.09,41.82,283.96
2024-01-01 13:00:00,16.97,42.24,407.88
