time,ambient_temperature,rh,GHI,ac_voltage
2024-01-01 07:25:00,2.09,96.38,5.11,259.62
2024-01-01 07:30:00,2.0,96.61,3.73,259.72
2024-01-01 07:35:00,1.9,96.78,5.23,260.13
2024-01-01 07:40:00,1.89,96.82,10.97,260.19
2024-01-01 07:45:00,1.81,96.96,21.58,260.09
2024-01-01 07:50:00,1.87,97.12,68.12,259.42
2024-01-01 07:55:00,1.92,97.3,39.46,259.76
2024-01-01 08:00:00,2.03,97.53,28.85,260.12
2024-01-01 08:05:00,2.15,97.67,35.67,259.76
2024-01-01 08:10:00,2.28,97.85,58.93,260.02
2024-01-01 08:15:00,2.46,98.04,179.86,260.2
2024-01-01 08:20:00,2.61,98.13,220.0,260.81
2024-01-01 08:25:00,2.9,98.27,182.95,261.57
2024-01-01 08:30:00,3.26,98.46,62.28,260.4
2024-01-01 08:35:00,3.61,98.61,75.44,260.22
2024-01-01 08:40:00,4.23,98.68,254.23,261.36
2024-01-01 08:45:00,4.79,97.89,269.21,261.71
2024-01-01 08:50:00,5.55,96.0,78.51,260.99
2024-01-01 08:55:00,6.34,92.46,63.13,260.29
2024-01-01 09:00:00,6.63,86.9,73.89,260.33
2024-01-01 09:05:00,6.63,85.51,201.36,260.46
2024-01-01 09:10:00,6.76,84.8,114.1,261.62
2024-01-01 09:15:00,6.98,84.14,111.39,260.69
2024-01-01 09:20:00,7.28,82.67,221.78,260.5
2024-01-01 09:25:00,7.56,81.3,204.24,261.45
2024-01-01 09:30:00,8.0,80.2,424.97,260.93
2024-01-01 09:35:00,8.42,77.41,155.94,262.6
2024-01-01 09:40:00,8.94,74.3,499.54,262.32
2024-01-01 09:45:00,9.63,71.6,546.26,263.46
2024-01-01 09:50:00,10.41,68.98,429.24,264.09
2024-01-01 09:55:00,11.1,65.68,511.52,263.39
2024-01-01 10:00:00,11.45,62.81,579.72,263.59
2024-01-01 10:05:00,11.93,61.22,597.72,264.52
2024-01-01 10:10:00,12.6,59.77,512.24,264.09
2024-01-01 10:15:00,12.53,57.63,459.54,264.69
2024-01-01 10:20:00,12.62,57.07,347.94,262.1
2024-01-01 10:25:00,12.32,56.73,356.26,263.1
2024-01-01 10:30:00,12.32,56.57,692.89,264.73
2024-01-01 10:35:00,12.39,56.29,207.11,265.47
2024-01-01 10:40:00,12.61,56.03,670.86,262.12
2024-01-01 10:45:00,12.73,55.72,694.21,264.74
2024-01-01 10:50:00,13.28,55.02,329.26,265.84
2024-01-01 10:55:00,13.57,53.87,588.86,263.79
2024-01-01 11:00:00,13.86,53.74,492.81,265.42
2024-01-01 11:05:00,14.75,52.22,463.59,263.7
2024-01-01 11:10:00,15.2,50.76,756.73,264.68
2024-01-01 11:15:00,15.61,50.16,698.44,266.53
2024-01-01 11:20:00,16.34,47.97,773.23,266.14
2024-01-01 11:25:00,16.7,46.63,761.38,266.28
2024-01-01 11:30:00,15.9,45.98,753.56,266.79
2024-01-01 11:35:00,16.89,45.94,300.35,264.71
2024-01-01 11:40:00,16.63,44.58,781.23,265.17
2024-01-01 11:45:00,17.54,44.62,803.32,265.99
2024-01-01 11:50:00,17.95,43.35,791.38,266.3
2024-01-01 11:55:00,17.23,42.73,850.61,265.18
2024-01-01 12:00:00,17.55,43.23,388.2,265.77
2024-01-01 12:05:00,18.17,42.32,289.7,265.29
2024-01-01 12:10:00,18.12,41.0,560.49,263.56
2024-01-01 12:15:00,17.85,41.1,622.82,264.57
2024-01-01 12:20:00,17.92,40.91,595.53,266.42
2024-01-01 12:25:00,18.21,41.15,885.07,265.8
2024-01-01 12:30:00,18.28,40.42,594.48,265.59
2024-01-01 12:35:00,18.04,39.92,443.13,265.05
2024-01-01 12:40:00,17.74,40.24,366.04,263.63
2024-01-01 12:45:00,17.52,40.92,457.64,264.8
2024-01-01 12:50:00,17.37,41.35,272.8,263.94
2024-01-01 12:55:00,17.09,41.82,283.96,263.02
2024-01-01 13:00:00,16.97,42.24,407.88,263.43
2024-01-01 13:05:00,16.98,42.78,525.97,265.02
2024-01-01 13:10:00,17.22,42.38,588.38,264.9
2024-01-01 13:15:00,17.63,42.34,382.43,264.09
2024-01-01 13:20:00,18.02,41.49,329.81,263.93
2024-01-01 13:25:00,17.66,41.02,263.3,263.9
2024-01-01 13:30:00,17.7,41.54,276.42,263.79
2024-01-01 13:35:00,17.74,41.51,274.18,263.94
2024-01-01 13:40:00,17.52,41.59,221.45,263.72
